EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,POTENTIAL_HURT_LVL3,POTENTIAL_HURT_LVL4,POTENTIAL_HURT_LVL5,POTENTIAL_HURT_TOTAL,ACTUAL_HURT_A3,ACTUAL_HURT_A4,ACTUAL_HURT_TOTAL,SPILLS
EMPS Energy Products,AM Fuels,AM Fuels - US South,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,US Conventional,2019,0.498022,0.083004,18,3,0.055336,0.000000,0.074057,2,3,5,0,8,0,0,0,2
Upstream,Upstream Conventional/HO,Germany,2020,0.528223,0.000000,5,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,2
Upstream,Upstream LNG,ALL,2020,0.058364,0.000000,4,0,0.000000,0.000000,0.000000,0,6,4,0,10,0,0,0,4
Upstream,Upstream Conventional/HO,Sakhalin,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL NAP MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Other,ALL,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,0
Upstream,Upstream Conventional/HO,Imperial Oil / Canada West,2023,0.362281,0.000000,24,0,0.030190,0.031486,0.028996,2,1,3,0,4,0,0,0,1
Upstream,Out of scope,Out of scope,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL NA MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Norway / Azerbaijan / CNNS,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Eastern,2020,0.140300,0.028060,5,1,0.056120,0.092432,0.000000,2,0,2,0,2,0,0,0,9
Upstream,Upstream Conventional/HO,Imperial Oil / Canada West,2019,0.205009,0.008542,24,1,0.017084,0.023038,0.013576,2,4,2,0,6,0,0,0,2
Upstream,Upstream LNG,Qatar,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Abu Dhabi,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Other,Out of scope,Out of scope,2019,0.193815,0.019168,91,9,0.027688,0.028153,0.027405,13,96,91,24,211,0,0,0,52
Upstream,Upstream Unconventional,ALL,2021,0.376690,0.040073,47,5,0.040073,0.084818,0.022371,5,8,4,0,12,0,0,0,164
Upstream,Upstream Unconventional,Delaware,2020,0.432520,0.058980,22,3,0.039320,0.291663,0.021081,2,5,7,0,12,0,0,0,50
Upstream,Upstream Unconventional,Central,2023,1.086377,0.271594,12,3,0.362126,0.276003,0.404163,4,4,2,0,6,1,0,1,42
Upstream,Upstream LNG,PNG,2019,0.089934,0.000000,6,0,0.000000,0.000000,0.000000,0,3,6,0,9,0,0,0,1
