EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,ACTUAL_HURT_A3,ACTUAL_HURT_A4,SPILLS
Product Solutions,Energy Products,EAME Fuels - EAME BNLG,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,ALL,2023,0.058113,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL EAME MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Eastern Canada,2022,0.079312,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL SAP MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL EAME MBU,2023,0.235360,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,AP other,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Angola,2021,0.215618,0.043124,5,1,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Delaware,2020,0.432520,0.058980,22,3,0.039320,0.291663,0.021081,2,0,0,50
Upstream,Deep Water,Nigeria,2019,0.040394,0.000000,3,0,0.013465,0.060466,0.000000,1,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2019,0.141582,0.000000,1,0,0.141582,0.000000,0.379249,1,0,0,0
Upstream,LNG,Qatar,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,NA,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Kazakhstan,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - Canada,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,AP other,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,ALL,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
